customer_id,customer_name,phone,address_area,main_branch,first_order_date,last_order_date,total_orders,total_spent,recency_days,R_score,F_score,M_score,RFM_Score
4529,محمد حجازي,1272577959,عباس العقاد,Nasr City,2025-04-09,2025-04-28,3,2468,3,5,5,5,555
2665,حمزة عطية,1270168641,مكرم عبيد,Nasr City,2025-01-11,2025-02-11,3,2651,79,2,5,5,255
3990,ياسين فتحي,1238259267,شارع 9,Maadi,2025-01-27,2025-04-22,2,1674,9,5,4,4,544
1630,إبراهيم سالم,1011072192,عباس العقاد,Nasr City,2025-03-31,2025-04-14,2,1043,17,4,4,3,443
3995,سيف الشاذلي,1020513322,الحي الأول,Zayed,2025-04-13,2025-04-13,1,390,18,4,1,1,411
4058,يوسف الشريف,1093051607,الحي الثالث,Zayed,2025-01-18,2025-04-10,4,4244,21,4,5,5,455
1552,ياسين جمال,1265009042,روكسي,Heliopolis,2025-04-23,2025-04-23,1,482,8,5,1,1,511
3157,مصطفى عبدالسلام,1158385331,الحي الرابع,Zayed,2025-03-20,2025-03-20,1,545,42,3,1,1,311
3086,رامي الشاذلي,1072462367,الحي الأول,Zayed,2025-03-04,2025-03-04,1,840,58,3,1,2,312
1184,محمد حجازي,1097250911,زايد 2,October,2025-02-20,2025-04-15,3,2266,16,5,5,5,555
4970,محمود فتحي,1155809524,كورنيش المعادي,Maadi,2025-01-06,2025-04-13,2,1580,18,4,4,4,444
1931,عبدالله منصور,1245650778,الحي الخامس,October,2025-01-20,2025-04-13,2,2188,18,4,4,5,445
2496,زياد سالم,1274245042,الميرغني,Heliopolis,2025-02-16,2025-03-25,2,2812,37,3,4,5,345
1015,حمزة سيد,1083402075,المعادي الجديدة,Maadi,2025-01-21,2025-01-21,1,1319,100,1,1,4,114
1651,عمر سيد,1137800034,الميرغني,Heliopolis,2025-01-16,2025-03-15,3,2113,47,3,5,5,355
2543,أحمد الشمري,1280052898,كمبوند بيفرلي هيلز,Zayed,2025-02-08,2025-04-03,2,2277,28,4,4,5,445
4478,يوسف عبدالرحمن,1078614943,المنطقة السادسة,Nasr City,2025-01-27,2025-03-16,2,1726,46,3,4,4,344
1612,عبدالله سالم,1152118748,زايد 2,October,2025-03-11,2025-03-11,1,1144,51,3,1,3,313
4424,شريف عبدالله,1175746085,زايد 2,October,2025-03-12,2025-03-12,1,644,50,3,1,2,312
3677,سامي الشاذلي,1082338892,زهراء المعادي,Maadi,2025-01-19,2025-01-19,1,466,102,1,1,1,111
1231,رامي جمال,1018187029,زايد 2,October,2025-04-16,2025-04-16,1,1170,15,5,1,3,513
2829,عبدالله جمال,1262723273,روكسي,Heliopolis,2025-03-17,2025-04-14,2,1809,17,4,4,4,444
3215,طارق عبدالله,1110448477,ميدان الحصري,October,2025-01-10,2025-04-30,2,1454,1,5,4,4,544
3023,مصطفى فتحي,1189850343,روكسي,Heliopolis,2025-01-09,2025-04-24,3,2921,7,5,5,5,555
2658,رامي الشريف,1228306771,المعادي الجديدة,Maadi,2025-02-19,2025-04-18,2,1483,13,5,4,4,544
4930,عمر الشريف,1122091444,الميرغني,Heliopolis,2025-02-17,2025-04-21,4,2609,10,5,5,5,555
1738,طارق النجار,1173653567,مكرم عبيد,Nasr City,2025-02-21,2025-02-21,1,1136,69,2,1,3,213
3650,أحمد سالم,1023671423,زايد 2,October,2025-04-29,2025-04-29,1,897,2,5,1,2,512
2589,زياد النجار,1127667495,روكسي,Heliopolis,2025-01-01,2025-04-11,2,873,20,4,4,2,442
3266,إبراهيم جمال,1026547966,النزهة,Heliopolis,2025-01-19,2025-03-11,2,3146,51,3,4,5,345
1993,سيف سالم,1228698450,المنطقة السادسة,Nasr City,2025-04-12,2025-04-28,3,3011,3,5,5,5,555
4206,يوسف فتحي,1071201596,زايد 2,October,2025-02-22,2025-02-22,1,606,68,2,1,1,211
4137,محمد الهواري,1244882272,عباس العقاد,Nasr City,2025-01-31,2025-01-31,1,2011,90,1,1,5,115
2802,حمزة حجازي,1166029982,الحي الرابع,Zayed,2025-03-02,2025-04-19,2,1625,12,5,4,4,544
2274,وليد سيد,1048045621,شارع 9,Maadi,2025-01-02,2025-03-14,5,4598,48,3,5,5,355
4636,ياسين عبدالرحمن,1218343898,الحي الثالث,Zayed,2025-01-09,2025-01-09,1,385,112,1,1,1,111
4485,عبدالله سيد,1270563827,الحي الثالث,Zayed,2025-03-10,2025-04-12,2,1585,19,4,4,4,444
3464,حمزة الصاوي,1165701718,الحي السابع,October,2025-03-22,2025-04-15,2,973,16,5,4,3,543
2746,محمود الشمري,1031716547,الحي الرابع,Zayed,2025-02-04,2025-04-28,2,1661,3,5,4,4,544
3972,زياد النجار,1269827196,النزهة,Heliopolis,2025-04-03,2025-04-15,2,1516,16,5,4,4,544
4106,طارق عبدالرحمن,1157212529,كورنيش المعادي,Maadi,2025-03-03,2025-03-03,1,620,59,2,1,2,212
2499,خالد سالم,1243290774,هليوبوليس سكوير,Heliopolis,2025-05-01,2025-05-01,1,825,0,5,1,2,512
3910,زياد عبدالرحمن,1088202508,زهراء المعادي,Maadi,2025-02-01,2025-04-10,2,1785,21,4,4,4,444
4365,رامي عبدالله,1216422475,شارع الطيران,Nasr City,2025-02-08,2025-02-15,2,1377,75,2,4,4,244
3252,رامي الشمري,1270558473,مكرم عبيد,Nasr City,2025-02-17,2025-02-17,2,1226,73,2,4,3,243
4467,سيف الشمري,1012195127,هليوبوليس سكوير,Heliopolis,2025-02-07,2025-02-25,2,3008,65,2,4,5,245
3663,محمود عبدالرحمن,1059116613,الحي الرابع,Zayed,2025-01-28,2025-03-11,2,849,51,3,4,2,342
1315,حسين جمال,1165392453,زهراء المعادي,Maadi,2025-04-25,2025-04-25,1,816,6,5,1,2,512
1933,زياد الصاوي,1228893100,المنطقة السادسة,Nasr City,2025-04-25,2025-04-25,1,745,6,5,1,2,512
1833,وليد جمال,1173838194,كورنيش المعادي,Maadi,2025-03-13,2025-04-15,2,2438,16,5,4,5,545
4325,عمر الصاوي,1135169855,كورنيش المعادي,Maadi,2025-03-16,2025-04-09,3,2762,22,4,5,5,455
1477,طارق عطية,1125344719,المعادي الجديدة,Maadi,2025-04-01,2025-04-01,1,1068,30,4,1,3,413
2100,إبراهيم سيد,1268407118,شارع 9,Maadi,2025-01-03,2025-01-18,2,981,103,1,4,3,143
3268,سيف الشمري,1163937850,النزهة,Heliopolis,2025-02-26,2025-02-26,1,1088,64,2,1,3,213
2130,عمر عبدالرحمن,1233361175,الحي الأول,Zayed,2025-01-15,2025-02-02,3,2402,88,1,5,5,155
4182,سيف عبدالسلام,1075235572,الحي الخامس,October,2025-01-08,2025-01-28,2,1756,93,1,4,4,144
4332,شريف الصاوي,1151603896,روكسي,Heliopolis,2025-04-22,2025-04-22,1,395,9,5,1,1,511
1272,وليد جمال,1260803925,المعادي الجديدة,Maadi,2025-02-18,2025-03-13,2,2469,49,3,4,5,345
2538,كريم سيد,1115383686,الميرغني,Heliopolis,2025-03-04,2025-04-01,2,1055,30,4,4,3,443
4984,طارق الشمري,1298309998,عباس العقاد,Nasr City,2025-02-11,2025-02-11,1,785,79,2,1,2,212
1576,يوسف سيد,1125486815,النزهة,Heliopolis,2025-02-21,2025-02-21,1,726,69,2,1,2,212
3853,أحمد حسن,1141132129,الحي الثالث,Zayed,2025-01-15,2025-03-01,2,965,61,2,4,3,243
2185,شريف النجار,1082044602,عباس العقاد,Nasr City,2025-04-13,2025-04-22,2,1316,9,5,4,4,544
2740,شريف النجار,1046233569,روكسي,Heliopolis,2025-03-25,2025-04-14,2,1751,17,4,4,4,444
2967,حسين عبدالسلام,1268767792,مكرم عبيد,Nasr City,2025-01-29,2025-04-03,2,1694,28,4,4,4,444
3190,سيف عطية,1027067644,هليوبوليس سكوير,Heliopolis,2025-02-25,2025-02-25,1,575,65,2,1,1,211
2868,ياسين سالم,1274480885,الحي السابع,October,2025-01-10,2025-01-10,1,1353,111,1,1,4,114
4436,زياد حسن,1177390267,النزهة,Heliopolis,2025-01-28,2025-04-08,2,1334,23,4,4,4,444
2524,مصطفى الصاوي,1234615355,المنطقة السادسة,Nasr City,2025-02-01,2025-02-01,1,316,89,1,1,1,111
4927,حمزة الصاوي,1225473603,شارع 9,Maadi,2025-01-07,2025-04-26,4,3743,5,5,5,5,555
2184,رامي الشاذلي,1041182133,عباس العقاد,Nasr City,2025-01-13,2025-01-13,1,347,108,1,1,1,111
4025,شريف الشريف,1012414239,كمبوند بيفرلي هيلز,Zayed,2025-02-02,2025-02-02,1,514,88,1,1,1,111
1842,مصطفى حجازي,1238821898,كورنيش المعادي,Maadi,2025-04-25,2025-04-25,1,342,6,5,1,1,511
2308,سيف عبدالله,1219789654,المنطقة السادسة,Nasr City,2025-01-05,2025-04-23,3,1427,8,5,5,4,554
4935,شريف عبدالله,1110605180,عباس العقاد,Nasr City,2025-01-04,2025-01-04,1,351,117,1,1,1,111
1856,كريم عبدالرحمن,1259942533,هليوبوليس سكوير,Heliopolis,2025-03-10,2025-03-13,2,1533,49,3,4,4,344
3117,وليد فتحي,1062788191,روكسي,Heliopolis,2025-02-10,2025-02-16,2,1937,74,2,4,5,245
4409,شريف عبدالله,1116176513,عباس العقاد,Nasr City,2025-02-02,2025-02-28,2,1048,62,2,4,3,243
2222,طارق الهواري,1192100357,شارع 9,Maadi,2025-02-21,2025-03-06,2,2164,56,3,4,5,345
1712,زياد عادل,1073893121,النزهة,Heliopolis,2025-01-25,2025-03-28,2,1697,34,4,4,4,444
3560,كريم الصاوي,1011055199,النزهة,Heliopolis,2025-03-23,2025-03-23,1,942,39,3,1,3,313
2370,عبدالله منصور,1113298678,روكسي,Heliopolis,2025-01-12,2025-04-19,4,3914,12,5,5,5,555
4933,ياسين عبدالله,1170383793,كمبوند بيفرلي هيلز,Zayed,2025-01-23,2025-03-04,2,2107,58,3,4,5,345
1431,طارق عبدالرحمن,1073323415,الحي الخامس,October,2025-02-10,2025-02-23,3,1700,67,2,5,4,254
1652,محمد عبدالرحمن,1258416794,الحي الرابع,Zayed,2025-03-31,2025-03-31,1,1527,31,4,1,4,414
1521,سامي الشاذلي,1190191828,الميرغني,Heliopolis,2025-03-31,2025-03-31,1,490,31,4,1,1,411
1617,وليد عبدالله,1232605355,الحي السابع,October,2025-03-05,2025-03-05,1,225,57,3,1,1,311
4894,خالد عبدالله,1226613370,روكسي,Heliopolis,2025-02-28,2025-02-28,1,545,62,2,1,1,211
2345,وليد عبدالسلام,1197606261,الحي الخامس,October,2025-02-22,2025-02-22,1,797,68,2,1,2,212
3316,أحمد عبدالسلام,1139991590,عباس العقاد,Nasr City,2025-01-06,2025-01-19,2,1965,102,1,4,5,145
3759,شريف الشمري,1294584399,المعادي الجديدة,Maadi,2025-02-15,2025-03-26,3,2819,36,3,5,5,355
2941,سامي الشمري,1098651651,شارع 9,Maadi,2025-03-05,2025-03-05,1,491,57,3,1,1,311
3425,شريف حسن,1294722589,الحي الرابع,Zayed,2025-01-12,2025-04-11,2,2100,20,4,4,5,445
2591,يوسف الهواري,1128600999,مكرم عبيد,Nasr City,2025-02-04,2025-04-23,3,2103,8,5,5,5,555
1568,عمر فتحي,1174589725,ميدان الحصري,October,2025-01-14,2025-01-21,2,1405,100,1,4,4,144
